ActorId,ActorType,Activity,Resource,Timestamp
1,Ticket,Issue reported,Support Software,10.08.2023 22:00:00
1,Ticket,Notify analyst,Emailing service,10.08.2023 22:21:03
1,Ticket,Analysis performed,Support Software,14.08.2023 8:00:00
1,Ticket,Review analysis,Jira,16.08.2023 8:00:00
1,Ticket,Tickets backup,Database service,17.08.2023 22:00:00
1,Ticket,Tickets backup,Database service,24.08.2023 22:00:00
1,Ticket,Resolution added,Support Software,29.08.2023 16:00:00
1,Ticket,Tickets backup,Database service,31.08.2023 22:00:00
1,Ticket,Update due date,Time cron,01.09.2023 0:00:00
1,Ticket,Quality assurance,Testing SW,02.09.2023 1:53:22
1,Ticket,Feedback gathered,Support Software,02.09.2023 13:30:00
2,Ticket,Issue reported,Support Software,10.08.2023 22:00:00
2,Ticket,Notify analyst,Emailing service,10.08.2023 22:05:17
2,Ticket,Analysis performed,Support Software,14.08.2023 8:00:00
2,Ticket,Review analysis,Jira,16.08.2023 8:00:00
2,Ticket,Tickets backup,Database service,17.08.2023 22:00:00
2,Ticket,Tickets backup,Database service,24.08.2023 22:00:00
2,Ticket,Resolution added,Support Software,29.08.2023 16:00:00
2,Ticket,Tickets backup,Database service,31.08.2023 22:00:00
2,Ticket,Feedback gathered,Support Software,02.09.2023 13:30:00
2,Ticket,Quality assurance,Testing SW,19.08.2023 13:58:08
2,Ticket,Update due date,Time cron,01.09.2023 0:00:00
3,Ticket,Issue reported,Support Software,10.08.2023 22:00:00
3,Ticket,Notify analyst,Emailing service,10.08.2023 22:06:46
3,Ticket,Tickets backup,Database service,17.08.2023 22:00:00
3,Ticket,Tickets backup,Database service,24.08.2023 22:00:00
3,Ticket,Resolution added,Support Software,29.08.2023 16:00:00
3,Ticket,Quality assurance,Testing SW,30.08.2023 20:19:37
3,Ticket,Tickets backup,Database service,31.08.2023 22:00:00
3,Ticket,Feedback gathered,Support Software,02.09.2023 13:30:00
3,Ticket,Update due date,Time cron,01.09.2023 0:00:00
4,Ticket,Issue reported,Support Software,10.08.2023 22:00:00
4,Ticket,Notify analyst,Emailing service,10.08.2023 22:11:12
4,Ticket,Analysis performed,Support Software,14.08.2023 8:00:00
